,east,north,tvd
50027,1557.3435706139046,303.21208746557085,2032.8073088743322
50028,1557.381758680334,303.21210110771875,2032.8455038671339
50029,1557.4199467471121,303.21211474849446,2032.8836988595874
50030,1557.458134814239,303.21212838789796,2032.9218938516926
50031,1557.4963228817148,303.21214202592927,2032.9600888434497
50032,1557.5345109495395,303.2121556625884,2032.9982838348585
50033,1557.5726990177127,303.2121692978753,2033.0364788259192
50034,1557.6108870862347,303.21218293179,2033.0746738166315
50035,1557.6490751551055,303.2121965643325,2033.1128688069957
50036,1557.687263224325,303.2122101955028,2033.1510637970116
50037,1557.7254512938937,303.2122238253009,2033.1892587866794
50038,1557.7636393638109,303.2122374537268,2033.2274537759988
50039,1557.8018274340768,303.2122510807805,2033.2656487649701
50040,1557.8400155046916,303.212264706462,2033.3038437535931
50041,1557.878203575655,303.2122783307713,2033.342038741868
50042,1557.9163916469672,303.2122919537084,2033.3802337297946
50043,1557.954579718628,303.2123055752733,2033.418428717373
50044,1557.992767790638,303.212319195466,2033.456623704603
50045,1558.0309558629967,303.2123328142865,2033.494818691485
50046,1558.0691439357042,303.21234643173483,2033.5330136780187
50047,1558.1073320087603,303.21236004781093,2033.5712086642043
50048,1558.1455200821651,303.21237366251484,2033.6094036500415
50049,1558.1837081559188,303.21238727584654,2033.6475986355306
50050,1558.2218962300215,303.21240088780604,2033.6857936206713
50051,1558.2600843044727,303.21241449839334,2033.723988605464
50052,1558.2982723792727,303.21242810760845,2033.7621835899083
50053,1558.3364604544215,303.21244171545135,2033.8003785740045
50054,1558.374648529919,303.21245532192205,2033.8385735577524
50055,1558.4128366057653,303.21246892702055,2033.8767685411522
50056,1558.4510246819602,303.21248253074685,2033.9149635242036
50057,1558.4892127585042,303.21249613310096,2033.953158506907
50058,1558.527400835397,303.21250973408286,2033.9913534892619
50059,1558.5655889126385,303.21252333369256,2034.0295484712688
50060,1558.6037769902287,303.21253693193006,2034.0677434529273
50061,1558.6419650681676,303.21255052879536,2034.1059384342377
50062,1558.6801531464553,303.21256412428846,2034.1441334151998
50063,1558.7183412250918,303.21257771840936,2034.1823283958138
50064,1558.756529304077,303.21259131115806,2034.2205233760794
50065,1558.7947173834111,303.21260490253457,2034.258718355997
50066,1558.832905463094,303.21261849253887,2034.2969133355662
50067,1558.8710935431257,303.21263208117097,2034.3351083147872
50068,1558.909281623506,303.21264566843087,2034.37330329366
50069,1558.9474697042351,303.21265925431857,2034.4114982721846
50070,1558.985657785313,303.21267283883407,2034.449693250361
50071,1559.0238458667397,303.21268642197737,2034.4878882281891
50072,1559.0620339485154,303.2127000037484,2034.526083205669
50073,1559.1002220306395,303.21271358414725,2034.5642781828008
50074,1559.1384101131125,303.2127271631739,2034.6024731595842
50075,1559.1765981959343,303.21274074082834,2034.6406681360195
50076,1559.2147862791048,303.2127543171106,2034.6788631121065
50077,1559.2529743626244,303.2127678920206,2034.7170580878453
50078,1559.2911624464925,303.21278146555846,2034.7552530632358
50079,1559.3293505307095,303.2127950377241,2034.7934480382783
50080,1559.3675386152752,303.21280860851755,2034.8316430129723
50081,1559.4057267001897,303.2128221779388,2034.8698379873183
50082,1559.4439147854528,303.21283574598783,2034.908032961316
50083,1559.4821028710646,303.2128493126647,2034.9462279349655
50084,1559.5202909570255,303.2128628779693,2034.9844229082667
50085,1559.5584790433352,303.21287644190176,2035.0226178812197
50086,1559.5966671299934,303.212890004462,2035.0608128538245
50087,1559.6348552170004,303.21290356565004,2035.099007826081
50088,1559.6730433043563,303.2129171254659,2035.1372027979894
50089,1559.7112313920609,303.2129306839095,2035.1753977695496
50090,1559.7494194801143,303.21294424098096,2035.2135927407614
50091,1559.7876075685165,303.2129577966802,2035.2517877116252
50092,1559.8257956572675,303.21297135100724,2035.2899826821406
50093,1559.8639837463672,303.2129849039621,2035.3281776523079
50094,1559.9021718358158,303.2129984555447,2035.3663726221268
50095,1559.940359925613,303.21301200575516,2035.4045675915977
50096,1559.9785480157589,303.2130255545934,2035.4427625607202
50097,1560.0167361062536,303.21303910205944,2035.4809575294946
50098,1560.0549241970973,303.2130526481533,2035.5191524979207
50099,1560.0931122882898,303.2130661928749,2035.5573474659986
50100,1560.131300379831,303.21307973622436,2035.5955424337283
50101,1560.1694884717208,303.2130932782016,2035.6337374011098
50102,1560.2076765639595,303.21310681880664,2035.671932368143
50103,1560.245864656547,303.2131203580394,2035.710127334828
50104,1560.284052749483,303.2131338959,2035.7483223011648
50105,1560.322240842768,303.2131474323884,2035.7865172671534
50106,1560.3604289364018,303.21316096750456,2035.8247122327937
50107,1560.3986170303845,303.21317450124855,2035.8629071980858
50108,1560.4368051247156,303.2131880336203,2035.9011021630297
50109,1560.4749932193956,303.2132015646199,2035.9392971276254
50110,1560.5131813144244,303.2132150942473,2035.9774920918728
50111,1560.551369409802,303.21322862250247,2036.015687055772
50112,1560.5895575055283,303.21324214938545,2036.053882019323
50113,1560.6277456016035,303.21325567489623,2036.092076982526
50114,1560.6659336980274,303.2132691990348,2036.1302719453804
50115,1560.7041217948001,303.2132827218012,2036.1684669078868
50116,1560.7423098919216,303.2132962431954,2036.2066618700449
50117,1560.7804979893917,303.21330976321735,2036.2448568318548
50118,1560.8186860872106,303.21332328186713,2036.2830517933164
50119,1560.8568741853783,303.2133367991447,2036.32124675443
50120,1560.895062283895,303.2133503150501,2036.359441715195
50121,1560.9332503827604,303.2133638295833,2036.3976366756121
50122,1560.9714384819745,303.21337734274425,2036.4358316356809
50123,1561.0096265815373,303.21339085453303,2036.4740265954015
50124,1561.047814681449,303.2134043649496,2036.5122215547738
50125,1561.0860027817093,303.213417873994,2036.550416513798
50126,1561.1241908823183,303.21343138166617,2036.5886114724738
50127,1561.1623789832763,303.2134448879661,2036.6268064308015
50128,1561.200567084583,303.2134583928938,2036.6650013887809
50129,1561.2387551862387,303.21347189644933,2036.7031963464121
50130,1561.276943288243,303.21348539863266,2036.741391303695
50131,1561.315131390596,303.2134988994438,2036.77958626063
50132,1561.3533194932977,303.2135123988827,2036.8177812172164
50133,1561.3915075963482,303.2135258969494,2036.8559761734548
50134,1561.4296956997475,303.21353939364394,2036.8941711293448
50135,1561.4678838034956,303.21355288896626,2036.9323660848868
50136,1561.5060719075925,303.2135663829164,2036.9705610400804
50137,1561.5442600120382,303.2135798754943,2037.0087559949259
